text,label
Definitely This product exceeded my expectations,Positive
Definitely Highly recommend this,Positive
Definitely Wonderful experience overall,Positive
Honestly I do not recommend this,Negative
Truly Excellent performance,Positive
I regret buying this,Negative
Really Awful storyline and boring scenes,Negative
Absolutely The hotel was clean and comfortable,Positive
Truly The hotel was dirty,Negative
Honestly This product disappointed me,Negative
Absolutely Awful storyline and boring scenes,Negative
Absolutely Bad design,Negative
Honestly The acting was fantastic,Positive
Really Poor quality and slow delivery,Negative
This product disappointed me,Negative
Definitely I absolutely loved this movie,Positive
Honestly Bad design,Negative
Honestly Very satisfied with my purchase,Positive
The app is easy to use,Positive
Really I hated this movie,Negative
Truly The app keeps crashing,Negative
Definitely Waste of money,Negative
Truly Awful storyline and boring scenes,Negative
Absolutely Wonderful experience overall,Positive
Very satisfied with my purchase,Positive
Honestly Waste of money,Negative
Truly I regret buying this,Negative
Absolutely The food was cold,Negative
Highly recommend this,Positive
Really Poor quality and slow delivery,Negative
Absolutely Very satisfied with my purchase,Positive
Definitely The hotel was dirty,Negative
Really The feature does not work,Negative
Definitely One star,Negative
Absolutely Wonderful experience overall,Positive
Honestly I hated this movie,Negative
Definitely Very dissatisfied with my purchase,Negative
Really Very dissatisfied with my purchase,Negative
Really One star,Negative
Truly Amazing storyline and great visuals,Positive
Honestly Brilliant design,Positive
Definitely Wonderful experience overall,Positive
Absolutely The service was excellent,Positive
Truly Terrible experience overall,Negative
Absolutely Awful storyline and boring scenes,Negative
Absolutely I hated this movie,Negative
Definitely Brilliant design,Positive
Absolutely Awful storyline and boring scenes,Negative
Really One star,Negative
Absolutely Bad design,Negative
Absolutely The food was cold,Negative
Honestly Five stars,Positive
Really This product exceeded my expectations,Positive
Truly The food was cold,Negative
Definitely Excellent performance,Positive
Absolutely Excellent performance,Positive
Really Waste of money,Negative
Honestly Five stars,Positive
Honestly The food was cold,Negative
Definitely I hated this movie,Negative
Really Poor quality and slow delivery,Negative
Truly The food was delicious,Positive
Absolutely I do not recommend this,Negative
Definitely The feature does not work,Negative
Honestly Extremely slow performance,Negative
Truly Excellent performance,Positive
Truly Waste of money,Negative
Definitely The acting was terrible,Negative
Definitely Very satisfied with my purchase,Positive
Absolutely Worth every penny,Positive
Honestly Amazing storyline and great visuals,Positive
Five stars,Positive
Definitely The hotel was dirty,Negative
Really I enjoyed every moment,Positive
Absolutely Poor quality and slow delivery,Negative
Truly The feature works perfectly,Positive
Really Amazing storyline and great visuals,Positive
Really The feature works perfectly,Positive
Very dissatisfied with my purchase,Negative
Honestly The hotel was dirty,Negative
Absolutely Very dissatisfied with my purchase,Negative
I hated this movie,Negative
Absolutely I hated this movie,Negative
Absolutely I enjoyed every moment,Positive
This product exceeded my expectations,Positive
Definitely This product exceeded my expectations,Positive
Truly I hated this movie,Negative
Honestly The hotel was clean and comfortable,Positive
Truly This product exceeded my expectations,Positive
Really This product exceeded my expectations,Positive
The food was delicious,Positive
Truly The hotel was dirty,Negative
I absolutely loved this movie,Positive
Definitely The acting was terrible,Negative
Honestly This made my day,Positive
Absolutely Five stars,Positive
Truly Customer support was very helpful,Positive
Absolutely I hated this movie,Negative
Bad design,Negative
Really Terrible experience overall,Negative
Really This ruined my day,Negative
Really I absolutely loved this movie,Positive
This ruined my day,Negative
Really Poor quality and slow delivery,Negative
Absolutely The service was excellent,Positive
Definitely I do not recommend this,Negative
Wonderful experience overall,Positive
Definitely Very satisfied with my purchase,Positive
Wonderful experience overall,Positive
The acting was fantastic,Positive
Really The app is easy to use,Positive
Absolutely The hotel was clean and comfortable,Positive
Truly I regret buying this,Negative
Absolutely Very satisfied with my purchase,Positive
Absolutely The feature works perfectly,Positive
Truly Amazing storyline and great visuals,Positive
Truly Amazing storyline and great visuals,Positive
Honestly Five stars,Positive
Truly Brilliant design,Positive
Really Customer support was very helpful,Positive
Truly One star,Negative
Honestly This product exceeded my expectations,Positive
Definitely The service was horrible,Negative
Truly This product disappointed me,Negative
Honestly I do not recommend this,Negative
Absolutely Customer support was very helpful,Positive
Definitely The hotel was clean and comfortable,Positive
Really The acting was terrible,Negative
Honestly The feature does not work,Negative
Really The food was delicious,Positive
Honestly The feature does not work,Negative
The service was excellent,Positive
Really The hotel was clean and comfortable,Positive
Truly Awful storyline and boring scenes,Negative
The service was horrible,Negative
Definitely I do not recommend this,Negative
Very satisfied with my purchase,Positive
Absolutely Worth every penny,Positive
Really The app is easy to use,Positive
Really Terrible experience overall,Negative
Definitely Five stars,Positive
Honestly Wonderful experience overall,Positive
Honestly The service was excellent,Positive
Honestly Terrible experience overall,Negative
Honestly This product disappointed me,Negative
Definitely The hotel was dirty,Negative
Really The acting was fantastic,Positive
Definitely The app is easy to use,Positive
Definitely The app is easy to use,Positive
Absolutely Very dissatisfied with my purchase,Negative
Absolutely I do not recommend this,Negative
The food was delicious,Positive
Absolutely The acting was terrible,Negative
Honestly Great quality and fast delivery,Positive
Truly The app is easy to use,Positive
Awful storyline and boring scenes,Negative
Truly Brilliant design,Positive
Honestly The acting was terrible,Negative
Honestly I hated this movie,Negative
